X,Y,FID,Bundesland,Name,Baujahr,Gesamtleistung__MW_,Anzahl,Typ__WKA_,Ort,Landkreis,Breitengrad,Längengrad,Projektierer___Betreiber,Bemerkungen
10.029722222,54.400555556,81,Schleswig-Holstein,Windpark Wulfshagen[26],2001,,,NEG Micon NM72c/1500(1×),Felm,,54.4005555555556,10.0297222222222,,
9.46666666700003,54.392777778,82,Schleswig-Holstein,Windpark Klein Bennebek,2000,"9,6",6,Vestas V66-1.65MW(6×),Klein Bennebek,SL,54.3927777777778,9.46666666666667,e3,
12.471388889,54.39,83,Mecklenburg-Vorpommern,Windkraftanlagen Born a. Darß,1993,"0,6",2,Nordtank NTK 300/31(2×),Born a. Darß,VR,54.39,12.4713888888889,,
10.435138889,54.382777778,84,Schleswig-Holstein,Windkraftanlagen Stakendorf,1995,"1,0",2,Enercon E-40/5.40(2×),Stakendorf,PLÖ,54.3827777777778,10.4351388888889,,
10.345,54.3658333330001,85,Schleswig-Holstein,Windpark Fiefbergen,1996,"8,85",7,Vestas V44-600kW(2×),Fiefbergen,PLÖ,54.3658333333333,10.345,"WP Fiefbergen Süd, wotan",
10.345,54.3658333330001,86,Schleswig-Holstein,Windpark Fiefbergen,1999,,,Vestas V66-1.65MW(1×),,,54.3658333333333,10.345,,
10.345,54.3658333330001,87,Schleswig-Holstein,Windpark Fiefbergen,,,,Tacke TW 1.5 (4×),,,54.3658333333333,10.345,,
10.978333333,54.3619444440001,88,Schleswig-Holstein,Windkraftanlage Heiligenhafen,1992,"0,15",1,Nordtank NTK 150/25(1×),Heiligenhafen,OH,54.3619444444444,10.9783333333333,,
10.403055556,54.3586111110001,89,Schleswig-Holstein,Windpark Ratjendorf,2000,"7,3",4,Vestas V66-1.75MW(3×),Ratjendorf,PLÖ,54.3586111111111,10.4030555555556,Laboer Windpark,
10.403055556,54.3586111110001,90,Schleswig-Holstein,Windpark Ratjendorf,2006,,,REpower MM82(1×),,,54.3586111111111,10.4030555555556,,
12.764722222,54.3555555560001,91,Mecklenburg-Vorpommern,Windpark Küstrow[46],1993,"2,25",5,AN Bonus 450/37 (5×),Küstrow,VR,54.3555555555556,12.7647222222222,Windkraft Nisdorf,"Früher noch 1×Nordtank NTK 300/31, 4×Micon M530-250, 1×Micon M750-400und 4×Enercon-33, diese Anlagen wurden 2015 allesamt zurückgebaut"
12.764722222,54.3555555560001,92,Mecklenburg-Vorpommern,Windpark Küstrow[46],1995,,,,,,54.3555555555556,12.7647222222222,,
13.0035833330001,54.355,93,Mecklenburg-Vorpommern,Windpark Schmedshagen,1994,"1,7",3,Vestas V39-500kW(1×),Schmedshagen,VR,54.355,13.0035833333333,,
13.0035833330001,54.355,94,Mecklenburg-Vorpommern,Windpark Schmedshagen,1995,,,Vestas V44-600kW(2×),,,54.355,13.0035833333333,,
10.460555556,54.3533333330001,95,Schleswig-Holstein,Windpark Köhn,1995,"1,8",3,Micon M1500-600(1×),Köhn,PLÖ,54.3533333333333,10.4605555555556,Denker & Wulf,
13.039527778,54.3530555560001,96,Mecklenburg-Vorpommern,Windpark Kramerhof,1995,"1,5",3,Enercon E-40/5.40(3×),Kramerhof,VR,54.3530555555556,13.0395277777778,WP Kramerhof,
9.85222222200002,54.3505555560001,97,Schleswig-Holstein,Windpark Osterrade,2001,"17,55",10,Vestas V66-1.65MW(7×),Bovenau,RD,54.3505555555556,9.85222222222222,IB Henning Holst,
9.85222222200002,54.3505555560001,98,Schleswig-Holstein,Windpark Osterrade,2011,,,Vestas V90-2MW(3×),,,54.3505555555556,9.85222222222222,,
12.383888889,54.345,99,Mecklenburg-Vorpommern,Windkraftanlage Wustrow[9],1989,"0,2",1,Vestas V25-200kW(1×),Wustrow,VR,54.345,12.3838888888889,Klaus-Jürgen Beel,Wurde 1988 als erste Windkraftanlage derehem. DDRgegen Devisen aus dem Holzhandel ersteigert und im Oktober 1989 errichtet
13.138611111,54.344444444,100,Mecklenburg-Vorpommern,Windpark Altefähr,1993,"2,9",9,Nordtank NTK 300/31(8×),Altefähr,VR,54.3444444444445,13.1386111111111,WIDEMAG,Repoweringgeplant
