"SDO_ID","SDO_Name","Geogr_Laenge","Geogr_Breite","Hoehe_ueber_NN","Metadata_Link"
"5825","Berge","12,7867","52,6198","40.0","https://cdc.dwd.de/rest/metadata/station/html/812300618919"
"850","Celle","10,0296","52,5959","45.0","https://cdc.dwd.de/rest/metadata/station/html/812300623911"
"5663","Woldegk","13,6099","53,4618","118.0","https://cdc.dwd.de/rest/metadata/station/html/812300625191"
"1270","Erfurt-Weimar","10,9608","50,9829","316.0","https://cdc.dwd.de/rest/metadata/station/html/812300625767"
"3639","Nordholz (Flugplatz)","8,6584","53,7647","26.0","https://cdc.dwd.de/rest/metadata/station/html/812300628903"
"5282","Wahnsdorf bei Dresden","13,6744","51,1197","246.0","https://cdc.dwd.de/rest/metadata/station/html/812300633319"
"2374","Husum","9,0564","54,4752","3.0","https://cdc.dwd.de/rest/metadata/station/html/812300638311"
"5419","Weimar","11,3076","50,9751","264.0","https://cdc.dwd.de/rest/metadata/station/html/812300642599"
"5480","Werl","7,8879","51,5763","85.0","https://cdc.dwd.de/rest/metadata/station/html/812300643879"
"5158","Ummendorf","11,1759","52,1601","159.0","https://cdc.dwd.de/rest/metadata/station/html/812300645735"
"259","Müllheim","7,6387","47,8064","275.0","https://cdc.dwd.de/rest/metadata/station/html/812300647591"
"1228","UFS TW Ems","6,3460","54,1651","0.0","https://cdc.dwd.de/rest/metadata/station/html/812300648871"
"2601","Kleiner Feldberg/Taunus","8,4469","50,2218","822.0","https://cdc.dwd.de/rest/metadata/station/html/812300653863"
"6344","Runkel-Ennerich","8,1423","50,3940","168.0","https://cdc.dwd.de/rest/metadata/station/html/812300658855"
"4911","Straubing","12,5597","48,8275","351.0","https://cdc.dwd.de/rest/metadata/station/html/812300660711"
"3196","Marnitz","11,9321","53,3222","81.0","https://cdc.dwd.de/rest/metadata/station/html/812300663847"
"320","Heinersreuth-Vollhof","11,5198","49,9666","350.0","https://cdc.dwd.de/rest/metadata/station/html/812300667559"
"2115","Helgoland","7,8920","54,1750","4.0","https://cdc.dwd.de/rest/metadata/station/html/812300668839"
"193","Arolsen-Neu Berich","9,0820","51,3845","232.0","https://cdc.dwd.de/rest/metadata/station/html/812300670119"
"2261","Hof","11,8760","50,3123","565.0","https://cdc.dwd.de/rest/metadata/station/html/812300672551"
"5930","Schönhagen (Ostseebad)","10,0238","54,6410","1.0","https://cdc.dwd.de/rest/metadata/station/html/812300673831"
"3376","Müncheberg","14,1232","52,5176","63.0","https://cdc.dwd.de/rest/metadata/station/html/812300675687"
"3244","Memmingen","10,1384","47,9821","614.0","https://cdc.dwd.de/rest/metadata/station/html/812300677543"
"13965","Balingen-Bronnhaupten","8,8134","48,2639","619.0","https://cdc.dwd.de/rest/metadata/station/html/812300681214"
"3023","Lingen","7,3081","52,5181","22.0","https://cdc.dwd.de/rest/metadata/station/html/812300685671"
"619","Borkum-Süderstraße","6,6703","53,5788","12.0","https://cdc.dwd.de/rest/metadata/station/html/812300686951"
"3513","Neuhaus am Rennweg","11,1345","50,5003","845.0","https://cdc.dwd.de/rest/metadata/station/html/812300687527"
"5715","Wunstorf","9,4245","52,4626","49.0","https://cdc.dwd.de/rest/metadata/station/html/812300690663"
"5732","Wrixum/Föhr","8,5271","54,6928","8.0","https://cdc.dwd.de/rest/metadata/station/html/812300694375"
"1303","Essen-Bredeney","6,9677","51,4041","150.0","https://cdc.dwd.de/rest/metadata/station/html/812300695655"
"5128","Tuttlingen-Möhringen-Vorstadt","8,7899","47,9682","668.0","https://cdc.dwd.de/rest/metadata/station/html/812300698791"
"3126","Magdeburg","11,5827","52,1029","79.0","https://cdc.dwd.de/rest/metadata/station/html/812300702503"
"3811","Oschatz","13,0928","51,2960","150.0","https://cdc.dwd.de/rest/metadata/station/html/812300707495"
"3925","Pforzheim-Ispringen","8,6973","48,9329","332.0","https://cdc.dwd.de/rest/metadata/station/html/812300714343"
"1694","Goldberg","12,1034","53,6058","59.0","https://cdc.dwd.de/rest/metadata/station/html/812300720615"
"3659","Nürburg","6,9501","50,3391","627.0","https://cdc.dwd.de/rest/metadata/station/html/812300721895"
